Lake Name,Municipality,Geographic Township,MNRF District,Coordinates,Waterbody ID,Fish Species
Bothwell's Creek,Municipality of Meaford,Sydenham,Midhurst,"44.619, -80.886",17-5106-49402,"['Brook Trout', 'Brown Trout', 'Common Carp', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Splake', 'White Sucker']"
Boundary Creek,Township of Ashfield-Colborne-Wawanosh,Ashfield,Guelph,"43.845, -81.68",17-4424-48552,"['Rainbow Trout', 'White Sucker']"
Bowens Creek,Township of St. Clair,Moore,Aylmer,"42.785, -82.464",17-3814-47357,"['Bluegill', 'Pumpkinseed', 'Rainbow Smelt', 'Rock Bass', 'Smallmouth Bass', 'White Perch', 'Yellow Perch']"
Boyd Creek,Township of Huron-Kinloss,Huron,Midhurst,"44.033, -81.567",17-4412-48738,not available
Boyd Lake,Municipality of West Grey,Bentinck,Midhurst,"44.258, -80.953",17-5040-48994,['Rock Bass']
Boyne Creek,Town of Grand Valley,Luther,Guelph,"43.887, -80.336",17-5576-48571,"['Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Boyne River,Township of Mulmur,Mulmur,Midhurst,"44.164, -80.015",17-5946-48908,"['Largemouth Bass', 'Brook Trout', 'Brown Trout', 'Burbot', 'Common Carp', 'Brown Bullhead', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Bradleys Creek,Municipality of Central Elgin,Yarmouth,Aylmer,"42.744, -81.047",17-4959-47328,not available
Brandy Creek,Township of Wellington North,Peel,Guelph,"43.816, -80.532",17-5389-48533,"['Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Bridgewater Creek,Municipality of Central Huron,Goderich,Guelph,"43.64, -81.594",17-4524-48334,"['Brook Trout', 'Brown Bullhead', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Britain Lake,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.135, -81.351",17-4721-49975,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Broad Creek,Haldimand County,Moulton,Guelph,"42.878, -79.556",17-6171-47468,not available
Bronte Creek,Town of Oakville,Trafalgar,Aurora,"43.393, -79.71",17-6039-48058,"['Northern Pike', 'Black Crappie', 'Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Cisco', 'Common Carp', 'Largemouth Bass', 'Bluegill', 'Pumpkinseed', 'Rainbow Smelt', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Perch', 'White Sucker', 'Yellow Perch']"
Bruce Creek,City of Markham,Markham,Aurora,"43.872, -79.315",17-6353-48564,"['Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Buck Lake,Township of Severn,Orillia,Midhurst,"44.771, -79.418",17-6252-49585,"['Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Burgoyne Creek,Town of Saugeen Shores,Saugeen,Midhurst,"44.427, -81.324",17-4735-49180,"['Brown Bullhead', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Yellow Bullhead']"
Burrows Lake,Township of Severn,Matchedash,Midhurst,"44.841, -79.665",17-6058-49657,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'Yellow Bullhead', 'Yellow Perch']"
Burts Creek,Township of Oro-Medonte,Oro,Midhurst,"44.48, -79.525",17-6206-49246,"['Brook Trout', 'White Sucker']"
Caddy Creek,Municipality of Thames Centre,Dorchester,Aylmer,"43.015, -81.034",17-4994-47600,"['Brook Trout', 'Brown Trout', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Cain Lake,Township of Muskoka Lakes,Wood,Parry Sound,"44.911, -79.624",17-6087-49738,"['Brown Bullhead', 'Lake Whitefish', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Caledon Creek,Town of Caledon,Caledon,Aurora,"43.85, -80.02",17-5777-48555,"['Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'White Sucker', 'Yellow Perch']"
Caledon Lake,Town of Caledon,Caledon,Aurora,"43.881, -80.105",17-5723-48591,"['Black Crappie', 'Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Rainbow Trout', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Cameron Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.218, -81.558",17-4561-50068,"['Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Camp Creek,Municipality of West Grey,Normanby,Midhurst,"44.142, -80.862",17-5053-48902,not available
Campbellville Pond,Town of Milton,Nassagaweya,Aurora,"43.492, -79.976",17-5829-48156,"['Brook Trout', 'Largemouth Bass', 'Rainbow Trout', 'White Sucker']"
Canagagigue Creek,Township of Woolwich,Woolwich,Guelph,"43.585, -80.533",17-5404-48255,"['Rock Bass', 'White Sucker']"
