Lake Name,Municipality,Geographic Township,MNRF District,Coordinates,Waterbody ID,Fish Species
Naftel's Creek,Municipality of Central Huron,Goderich,Guelph,"43.678, -81.665",17-4417-48355,"['Brook Trout', 'Brown Trout', 'Rainbow Trout', 'White Sucker']"
Nanticoke Creek,Haldimand County,Walpole,Guelph,"42.856, -80.119",17-5763-47370,"['Pumpkinseed', 'Black Crappie', 'Bowfin', 'Brown Bullhead', 'Channel Catfish', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Bluegill', 'Rock Bass', 'Smallmouth Bass', 'White Bass', 'White Crappie', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Negro Creek,Township of Chatsworth,Holland,Midhurst,"44.359, -80.852",17-5066-49124,not available
Negro Lakes,Township of Chatsworth,Holland,Midhurst,"44.341, -80.847",17-5120-49087,"['Brook Trout', 'Northern Pike', 'Smallmouth Bass', 'Yellow Perch']"
New Lowell Re.,Township of Clearview,Sunnidale,Midhurst,"44.353, -79.978",17-5814-49114,"['Brook Trout', 'Rainbow Trout', 'White Sucker']"
Newtonbrook Creek,City of Toronto,York,Aurora,"43.783, -79.387",17-6311-48485,not available
Niagara River,City of Niagara Falls,not available,Guelph,"43.03, -79.017",17-6583-47921,not available
Nineteen Creek,Municipality of Central Elgin,Yarmouth,Aylmer,"42.769, -81.14",17-4945-47348,"['Common Carp', 'Freshwater Drum', 'Rainbow Smelt', 'Rock Bass', 'White Sucker']"
Nissouri Creek,Township of Zorra,Zorra,Aylmer,"43.155, -80.966",17-5027-47736,"['Smallmouth Bass', 'White Sucker']"
NL,Township of Severn,Matchedash,Midhurst,"44.861, -79.647",17-6069-49682,['Brown Bullhead']
Norman Reeves Creek,Township of Southgate,Egremont,Midhurst,"44.104, -80.681",17-5167-48787,not available
Normandale Creek,Norfolk County,Charlotteville,Aylmer,"42.721, -80.35",17-5560-47294,not available
North Creek,Norfolk County,Middleton,Aylmer,"42.855, -80.518",17-5395-47441,not available
North Hodgins Lake,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.775, -81.261",17-4794-49578,"['Largemouth Bass', 'Northern Pike']"
North Louise Lake,Municipality of West Grey,Bentinck,Midhurst,"44.278, -80.955",17-5036-49026,"['Largemouth Bass', 'Rock Bass']"
North Spey River,Municipality of Meaford,Sydenham,Midhurst,"44.52, -80.829",17-5053-49272,not available
Nottawasaga River,Township of Springwater,Vespra,Midhurst,"44.427, -79.896",17-5795-49314,"['Largemouth Bass', 'Black Crappie', 'Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Burbot', 'Channel Catfish', 'Common Carp', 'Lake Whitefish', 'Bowfin', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Splake', 'Walleye', 'White Sucker', 'Yellow Perch']"
"Of Clouds, L.",Town of the Blue Mountains,Collingwood,Midhurst,"44.459, -80.326",17-5536-49228,['Brook Trout']
Old Woman's River,Municipality of Northern Bruce Peninsula,Eastnor,Midhurst,"44.966, -81.354",17-4724-49791,not available
Opal L.,Township of Chatsworth,Holland,Midhurst,"44.331, -80.846",17-5123-49084,"['Brook Trout', 'Northern Pike', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Orangeville Reservoir,Town of Mono,Mono,Midhurst,"43.939, -80.089",17-5733-48648,"['Black Crappie', 'Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Orr Lake,Township of Springwater,Flos,Midhurst,"44.608, -79.802",17-5951-49399,"['Rock Bass', 'Black Crappie', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Brown Bullhead', 'Smallmouth Bass', 'White Bass', 'White Crappie', 'White Sucker', 'Yellow Perch']"
Osenego Creek,Town of Oakville,Trafalgar,Aurora,"43.465, -79.736",17-6030-48125,not available
Oswego Creek,Haldimand County,Canborough,Guelph,"42.989, -79.672",17-6182-47598,"['Northern Pike', 'Black Crappie', 'Bowfin', 'Brown Bullhead', 'Channel Catfish', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Bluegill', 'Pumpkinseed', 'Walleye', 'White Crappie', 'White Perch', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Otter Creek,Municipality of South Bruce,Carrick,Midhurst,"44.087, -81.144",17-4893-48828,"['Brook Trout', 'Brown Trout', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Otter Creek,Township of Perth South,Downie,Guelph,"43.287, -81.113",17-4865-47922,"['Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Otter Lake,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.11, -81.331",17-4738-49949,"['Northern Pike', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Otter Lake,Township of Severn,Matchedash,Midhurst,"44.806, -79.639",17-6076-49621,"['Black Crappie', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Ox Creek,Municipality of West Elgin,not available,Aylmer,"42.516, -81.605",17-4507-47071,"['Largemouth Bass', 'Rock Bass', 'White Sucker']"
Oxbow Creek,Municipality of Middlesex Centre,Lobo,Aylmer,"42.979, -81.399",17-4687-47570,"['Brown Trout', 'Largemouth Bass', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Palgrave P.,Town of Caledon,Albion,Aurora,"43.953, -79.838",17-5932-48671,not available
Paradise Lake,Township of Wellesley,Wellesley,Guelph,"43.499, -80.661",17-5274-48160,"['Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Park Head Creek,Town of South Bruce Peninsula,Amabel,Midhurst,"44.601, -81.144",17-4868-49383,"['Brown Bullhead', 'Brown Trout', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Parkhill Creek,Municipality of North Middlesex,Mcgillivray,Aylmer,"43.198, -81.766",17-4364-47843,"['Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'White Crappie', 'White Sucker', 'Yellow Bullhead']"
Patterson Lake,Town of South Bruce Peninsula,Amabel,Midhurst,"44.757, -81.257",17-4797-49558,"['Bluegill', 'Pumpkinseed', 'Yellow Bullhead', 'Yellow Perch']"
Pearl Creek,Municipality of Brockton,Brant,Midhurst,"44.225, -81.074",17-4854-48994,not available
Pearl Lake,Municipality of Brockton,Brant,Midhurst,"44.201, -81.058",17-4953-48941,"['Brook Trout', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Pefferlaw River,Town of Georgina,Georgina,Aurora,"44.327, -79.214",17-6422-49102,"['Northern Pike', 'Black Crappie', 'Bowfin', 'Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Common Carp', 'Largemouth Bass', 'Muskellunge', 'Bluegill', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Perch Creek,City of Sarnia,Sarnia,Aylmer,"43.01, -82.315",17-3954-47633,"['Common Carp', 'Pumpkinseed', 'White Sucker']"
Petticoat Creek,City of Pickering,Pickering,Aurora,"43.806, -79.114",17-6528-48512,"['Brown Trout', 'Rock Bass', 'White Perch', 'White Sucker']"
Phelan Creek,Township of East Zorra-Tavistock,Zorra,Aylmer,"43.247, -80.795",17-5230-47866,"['Pumpkinseed', 'Rock Bass', 'White Sucker']"
Philips Lake,Town of Richmond Hill,King,Aurora,"43.924, -79.463",17-6234-48644,"['Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Pike Creek,Haldimand County,Cayuga,Guelph,"42.962, -79.853",17-5938-47540,"['Black Crappie', 'Bluegill', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'White Sucker']"
Pike Lake,Town of Minto,Minto,Guelph,"43.966, -80.814",17-5147-48679,"['Bluegill', 'Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Pinafore Lake,City of St. Thomas,Yarmouth,Aylmer,"42.762, -81.185",17-4850-47347,"['Black Crappie', 'Bluegill', 'Common Carp', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Pine River,not available,Tosorontio,Midhurst,"44.242, -79.961",17-5904-49094,"['Brook Trout', 'Brown Trout', 'Burbot', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Splake', 'White Sucker']"
Pinehurst Lake,County of Brant,Dumfries,Guelph,"43.269, -80.39",17-5500-47904,"['Bluegill', 'Pumpkinseed']"
Plum Creek,Municipality of Brockton,Greenock,Midhurst,"44.2, -81.299",17-4787-48958,not available
Preston Lake,Town of Whitchurch-Stouffville,Whitchurch,Aurora,"43.987, -79.38",17-6300-48713,"['Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Smallmouth Bass', 'White Sucker']"
Pretty River,Town of Collingwood,Nottawasaga,Midhurst,"44.496, -80.2",17-5623-49275,not available
Priddle Creek,Municipality of Grey Highlands,Osprey,Midhurst,"44.279, -80.27",17-5585-49034,not available
Professor's L.,City of Brampton,Chinguacousy,Aurora,"43.748, -79.735",17-6019-48445,"['Black Crappie', 'Bluegill', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Pulse Creek,City of Sarnia,Sarnia,Aylmer,"43.022, -82.288",17-3955-47651,"['Bluegill', 'Common Carp', 'Northern Pike', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Purvis Lake,Township of Huron-Kinloss,Kinloss,Midhurst,"43.952, -81.475",17-4620-48664,"['Largemouth Bass', 'Northern Pike', 'Smallmouth Bass']"
Puslinch Lake,Township of Puslinch,Puslinch,Guelph,"43.416, -80.268",17-5594-48072,"['Black Crappie', 'Bluegill', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Quenlin Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.211, -81.377",17-4704-50061,['Northern Pike']
Rambo Creek,City of Burlington,Nelson,Aurora,"43.343, -79.819",17-5981-47976,['White Sucker']
Rankin Creek,Municipality of Chatham-Kent,Dover,Aylmer,"42.484, -82.394",17-3836-47043,['Pumpkinseed']
Redhill Creek,City of Hamilton,Saltfleet,Guelph,"43.241, -79.773",17-6001-47910,"['Brown Bullhead', 'Common Carp', 'Pumpkinseed', 'White Perch', 'White Sucker']"
Robinson Creek,City of Markham,Markham,Aurora,"43.897, -79.294",17-6398-48586,"['Brown Trout', 'Pumpkinseed', 'Rainbow Trout', 'Smallmouth Bass', 'White Sucker']"
Robson Lake,Township of Chatsworth,Holland,Midhurst,"44.418, -80.736",17-5210-49182,"['Bluegill', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Rocklyn Creek,Municipality of Grey Highlands,Euphrasia,Midhurst,"44.475, -80.575",17-5225-49309,"['Brook Trout', 'Brown Trout', 'Burbot', 'Coho Salmon', 'Rainbow Trout', 'Smallmouth Bass', 'Splake', 'White Sucker']"
Rocks Mill I.,Township of Norwich,Norwich,Aylmer,"42.888, -80.658",17-5279-47482,"['Common Carp', 'Largemouth Bass', 'Rainbow Trout', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Rogers Creek,Town of Halton Hills,Esquesing,Aurora,"43.725, -79.973",17-5859-48407,not available
Rogers Creek,Haldimand County,Oneida,Guelph,"42.991, -80.007",17-5913-47582,not available
Roseland Creek,City of Burlington,Nelson,Aurora,"43.341, -79.775",17-5996-47992,"['Brown Trout', 'Rainbow Trout', 'White Sucker']"
Rouge River,City of Toronto,Scarborough,Aurora,"43.831, -79.218",17-6515-48512,"['Rainbow Smelt', 'Black Crappie', 'Bowfin', 'Brown Bullhead', 'Brown Trout', 'Coho Salmon', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Bluegill', 'Rainbow Trout', 'Rock Bass', 'Round Whitefish', 'Smallmouth Bass', 'White Bass', 'White Crappie', 'White Perch', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Rowes Lake,Municipality of Northern Bruce Peninsula,Eastnor,Midhurst,"44.891, -81.353",17-4721-49706,"['Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Rowntree Creek,City of Toronto,Etobicoke,Aurora,"43.751, -79.587",17-6145-48449,not available
Royal Oak Creek,Township of Huron-Kinloss,Huron,Midhurst,"44.112, -81.662",17-4453-48830,not available
Ruhl Creek,Municipality of Brockton,Brant,Midhurst,"44.16, -81.066",17-4947-48865,not available
Ruhl Lake,Municipality of Brockton,Brant,Midhurst,"44.171, -81.068",17-4946-48906,"['Brook Trout', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Rumbles Mill Pond,Township of Springwater,Medonte,Midhurst,"44.582, -79.75",17-5992-49371,"['Brook Trout', 'Pumpkinseed', 'Rainbow Trout', 'White Sucker']"
Sadler Creek,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.081, -81.453",17-4619-49903,not available
Sanders Pond,Municipality of Central Elgin,Yarmouth,Aylmer,"42.707, -81.17",17-4861-47282,"['Bluegill', 'Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Smallmouth Bass', 'White Sucker']"
Sangs Cr.,Municipality of Arran-Elderslie,Arran,Midhurst,"44.486, -81.313",17-4751-49257,not available
Sawmill Creek,City of Mississauga,Toronto,Aurora,"43.546, -79.672",17-6091-48226,not available
Schmidt Creek,Municipality of Brockton,Greenock,Midhurst,"44.161, -81.324",17-4747-48921,not available
Schmidt Lake,Municipality of Brockton,Greenock,Midhurst,"44.168, -81.311",17-4751-48903,"['Northern Pike', 'Yellow Perch']"
Schneider Creek,City of Kitchener,Waterloo,Guelph,"43.431, -80.471",17-5472-48052,"['Common Carp', 'Pumpkinseed', 'Smallmouth Bass', 'White Sucker']"
Scugog Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.121, -81.533",17-4582-49963,"['Northern Pike', 'Bowfin', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Brook Trout', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Severn River,Township of Muskoka Lakes,Wood,Parry Sound,"44.87, -79.577",17-6015-49614,"['Muskellunge', 'Black Crappie', 'Brown Bullhead', 'Channel Catfish', 'Cisco', 'Common Carp', 'Lake Whitefish', 'Largemouth Bass', 'Bowfin', 'Northern Pike', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Shadow Lake,Town of Whitchurch-Stouffville,Whitchurch,Aurora,"44.038, -79.267",17-6388-48773,"['Brown Bullhead', 'Largemouth Bass', 'Yellow Perch']"
Shakespeare Pond,Township of Perth East,North Easthope,Guelph,"43.381, -80.834",17-5134-48029,"['Bluegill', 'Brown Bullhead', 'Pumpkinseed', 'Rainbow Trout', 'Yellow Perch']"
Shallow Lake,Township of Georgian Bluffs,Keppel,Midhurst,"44.603, -81.094",17-4923-49387,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Shannon's Creek,Town of Oakville,Trafalgar,Aurora,"43.475, -79.749",17-6031-48126,not available
Sharon Creek,City of London,Westminster,Aylmer,"42.889, -81.31",17-4673-47459,"['Black Crappie', 'Common Carp', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Crappie', 'White Perch', 'White Sucker', 'Yellow Bullhead']"
Shashawandah Creek,Municipality of Lambton Shores,Bosanquet,Aylmer,"43.179, -82.018",17-4174-47815,"['Common Carp', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Sheldon Creek,City of Burlington,Nelson,Aurora,"43.389, -79.763",17-6040-48040,['White Sucker']
Shell L.,Township of Chatsworth,Holland,Midhurst,"44.328, -80.843",17-5125-49081,"['Brook Trout', 'Rock Bass', 'Yellow Perch']"
Shelswell's Creek,Township of Oro-Medonte,Oro,Midhurst,"44.46, -79.524",17-6186-49224,not available
Shepherd Lake,Township of Georgian Bluffs,Keppel,Midhurst,"44.657, -81.125",17-4900-49448,"['Largemouth Bass', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Sheppard Lake,Municipality of Meaford,Sydenham,Midhurst,"44.577, -80.845",17-5124-49357,"['Rock Bass', 'Yellow Perch']"
Sheridan Creek,City of Mississauga,Toronto,Aurora,"43.515, -79.618",17-6132-48189,"['Brown Bullhead', 'Common Carp', 'Northern Pike', 'Pumpkinseed', 'Rainbow Smelt', 'White Sucker', 'Yellow Perch']"
Shoreacres Creek,City of Burlington,Nelson,Aurora,"43.359, -79.764",17-6010-48008,"['Common Carp', 'Pumpkinseed', 'Rainbow Smelt', 'White Sucker']"
Shouldice Lake,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.147, -81.422",17-4668-49991,"['Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Sideroad Creek,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.205, -81.517",17-4542-50034,not available
Silver Creek,Municipality of Brockton,Brant,Midhurst,"44.127, -81.198",17-4867-48865,not available
Silver Creek,Municipality of Huron East,Mckillop,Guelph,"43.553, -81.365",17-4677-48199,"['Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Silver Creek,Town of Caledon,Caledon,Aurora,"43.819, -79.942",17-5845-48500,"['Brook Trout', 'Brown Trout', 'Pumpkinseed', 'White Sucker']"
Silver Creek,Town of Halton Hills,Esquesing,Aurora,"43.675, -79.988",17-5874-48316,"['Brook Trout', 'White Sucker']"
Silver Creek,Township of Perth East,North Easthope,Guelph,"43.405, -80.856",17-5175-48124,"['Brook Trout', 'Smallmouth Bass', 'White Sucker']"
Silver Creek,Township of Severn,Orillia,Midhurst,"44.649, -79.45",17-6202-49468,"['Brook Trout', 'Brown Trout', 'Rainbow Trout']"
Silver Creek,City of Toronto,Etobicoke,Aurora,"43.677, -79.527",17-6198-48365,not available
Silver Lake,Town of South Bruce Peninsula,Amabel,Midhurst,"44.614, -81.262",17-4792-49399,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Silver Lake,City of Waterloo,Waterloo,Guelph,"43.466, -80.528",17-5380-48124,"['Common Carp', 'White Sucker']"
Silver Lake,Township of Huron-Kinloss,Kinloss,Midhurst,"44.085, -81.419",17-4665-48812,"['Bluegill', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Silver Spring Creek,Township of Wilmot,Wilmot,Guelph,"43.386, -80.637",17-5297-48032,['Brook Trout']
Simeon Lake,Town of Whitchurch-Stouffville,Whitchurch,Aurora,"43.961, -79.387",17-6297-48692,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Sixteen Mile Creek,Town of Lincoln,Louth,Guelph,"43.151, -79.335",17-6354-47823,not available
Sixteen Mile Creek,Town of Oakville,Trafalgar,Aurora,"43.457, -79.739",17-6079-48096,"['Largemouth Bass', 'Bluegill', 'Brown Bullhead', 'Brown Trout', 'Coho Salmon', 'Common Carp', 'Brook Trout', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Sky Lake,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.808, -81.248",17-4805-49616,"['Pumpkinseed', 'Bluegill', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Bowfin', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Smith Creek,Township of Perth East,Mornington,Guelph,"43.626, -80.878",17-5121-48180,"['Common Carp', 'White Sucker']"
Smiths Mill Pond,County of Brant,Oakland,Guelph,"43.026, -80.31",17-5557-47627,"['Bluegill', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed']"
Snake Creek,Municipality of Arran-Elderslie,Elderslie,Midhurst,"44.374, -81.224",17-4681-49088,"['Brown Bullhead', 'Northern Pike', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Snows Creek,Town of Halton Hills,Esquesing,Aurora,"43.69, -80.008",17-5833-48370,"['Brook Trout', 'Brown Trout', 'Pumpkinseed', 'White Sucker']"
South Otter Creek,Municipality of Bayham,Bayham,Aylmer,"42.648, -80.79",17-5164-47199,"['Northern Pike', 'Black Crappie', 'Brook Trout', 'Brown Trout', 'Channel Catfish', 'Largemouth Bass', 'Bluegill', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Bass', 'White Sucker', 'Yellow Perch']"
Sparrow Lake,Town of Gravenhurst,Morrison,Parry Sound,"44.811, -79.392",17-6275-49634,"['Pumpkinseed', 'Brown Bullhead', 'Largemouth Bass', 'Muskellunge', 'Northern Pike', 'Channel Catfish', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Speed River,Township of Guelph/eramosa,Guelph,Guelph,"43.484, -80.282",17-5513-48034,"['Brown Bullhead', 'Common Carp', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Spencer Creek,City of Hamilton,Beverly,Guelph,"43.358, -80.08",17-5871-47913,"['Black Crappie', 'Bluegill', 'Brook Trout', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Smallmouth Bass', 'White Sucker']"
Spottiswood Lakes,County of Brant,Dumfries,Guelph,"43.254, -80.37",17-5514-47886,"['Largemouth Bass', 'Pumpkinseed', 'Walleye', 'White Perch']"
Spring Creek,City of Hamilton,Ancaster,Guelph,"43.254, -79.972",17-5850-47903,"['Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'White Sucker']"
Spring Creek,City of Mississauga,Toronto,Aurora,"43.68, -79.646",17-6102-48374,"['Pumpkinseed', 'Rock Bass', 'White Sucker']"
Spring Creek,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.07, -81.409",17-4646-49866,not available
Spring Creek,Township of Mapleton,Maryborough,Guelph,"43.729, -80.831",17-5215-48365,"['Rock Bass', 'White Sucker']"
Springwater Pond,Township of Malahide,Malahide,Aylmer,"42.748, -81.026",17-4974-47325,"['Black Crappie', 'Bluegill', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Spry Lake,Town of South Bruce Peninsula,Amabel,Midhurst,"44.741, -81.247",17-4805-49540,"['Bowfin', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
St. Andrews Lake,Town of Penetanguishene,Tay,Midhurst,"44.79, -79.91",17-5863-49600,"['Largemouth Bass', 'Yellow Perch']"
St. George Lake,Town of Richmond Hill,Whitchurch,Aurora,"43.956, -79.429",17-6257-48673,"['Bluegill', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
St. Helens Creek,Township of Ashfield-Colborne-Wawanosh,Wawanosh,Guelph,"43.899, -81.538",17-4558-48588,not available
St. Thomas Re.,Municipality of Central Elgin,Yarmouth,Aylmer,"42.803, -81.173",17-4858-47387,"['Black Crappie', 'Bluegill', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Staley Lake,Town of Whitchurch-Stouffville,Whitchurch,Aurora,"44.04, -79.252",17-6401-48776,['Brown Bullhead']
Stavebank Creek,City of Mississauga,Toronto,Aurora,"43.558, -79.607",17-6131-48226,not available
Stewart Lakes,Township of Chatsworth,Sullivan,Midhurst,"44.383, -80.918",17-5066-49142,['Yellow Perch']
Stoney Creek,not available,not available,Midhurst,"44.534, -81.308",17-4735-49328,not available
Stoney Creek,City of Hamilton,not available,Guelph,"43.244, -79.742",17-6015-47873,"['Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'White Sucker', 'Yellow Perch']"
Stony Creek,Norfolk County,Windham,Aylmer,"42.867, -80.433",17-5402-47405,not available
Stouffville Creek,City of Markham,Markham,Aurora,"43.953, -79.23",17-6436-48672,"['Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'White Sucker']"
Strasburg Creek,City of Kitchener,Waterloo,Guelph,"43.391, -80.455",17-5445-48052,"['Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'White Sucker']"
Sturgeon Creek,Municipality of Leamington,Mersea,Aylmer,"42.019, -82.567",17-3703-46526,['Common Carp']
Sucker Creek,Municipality of Meaford,St Vincent,Midhurst,"44.699, -80.723",17-5211-49513,not available
Sucker Creek,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.869, -81.286",17-4750-49643,not available
Sucker Creek,Township of Ramara,Mara,Midhurst,"44.635, -79.34",17-6309-49434,"['Brook Trout', 'Rainbow Trout']"
Sullivan L. A,Township of Chatsworth,Sullivan,Midhurst,"44.37, -80.948",17-5041-49127,"['Northern Pike', 'Yellow Perch']"
Sullivan L. D1,Township of Chatsworth,Sullivan,Midhurst,"44.349, -80.928",17-5057-49104,"['Northern Pike', 'Smallmouth Bass', 'Yellow Perch']"
Sullivan L. E,Township of Chatsworth,Sullivan,Midhurst,"44.332, -80.936",17-5051-49085,"['Brown Trout', 'Northern Pike', 'Yellow Perch']"
Sullivan L. F,Township of Chatsworth,Sullivan,Midhurst,"44.323, -80.953",17-5037-49075,['Pumpkinseed']
Sunfish Lake,Township of Wilmot,Wilmot,Guelph,"43.474, -80.634",17-5295-48133,"['Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Talbot Creek,Municipality of Dutton/dunwich,Dunwich,Aylmer,"42.643, -81.358",17-4699-47199,"['Pumpkinseed', 'Black Crappie', 'Channel Catfish', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Brown Bullhead', 'Rock Bass', 'Smallmouth Bass', 'White Bass', 'White Crappie', 'White Sucker']"
Talbot River,Township of Brock,Mara,Aurora,"44.497, -79.154",17-6458-49251,"['Pumpkinseed', 'Bluegill', 'Lake Whitefish', 'Largemouth Bass', 'Muskellunge', 'Northern Pike', 'Brown Bullhead', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Talfourd Creek,Township of St. Clair,Moore,Aylmer,"42.906, -82.455",17-3810-47509,"['Bluegill', 'Common Carp', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Bullhead']"
Tara Creek,Municipality of Arran-Elderslie,Arran,Midhurst,"44.472, -81.167",17-4867-49235,not available
